geoName,iPhone,Samsung,Xiaomi
Belgium,100,98,38
Italy,88,97,86
Germany,73,88,40
France,72,63,70
Netherlands,55,52,15
Switzerland,52,36,25
Brazil,51,100,82
Malaysia,47,51,45
Austria,41,45,27
Tunisia,41,68,51
Vietnam,36,20,17
Portugal,33,38,75
Indonesia,32,48,80
UAE,30,26,13
India,29,51,26
Bangladesh,29,68,100
Singapore,29,22,27
Greece,24,32,70
Philippines,22,29,29
Romania,21,28,17
