date,apple,samsung,smartphone
2018-01-01 00:00:00,20,27,0
2018-01-01 01:00:00,12,32,0
2018-01-01 02:00:00,7,19,0
2018-01-01 03:00:00,0,32,0
2018-01-01 04:00:00,25,45,0
2018-01-01 05:00:00,0,28,0
2018-01-01 06:00:00,0,0,0
2018-01-01 07:00:00,21,0,14
2018-01-01 08:00:00,12,39,0
2018-01-01 09:00:00,21,31,0
2018-01-01 10:00:00,23,38,6
2018-01-01 11:00:00,11,37,0
2018-01-01 12:00:00,25,29,4
2018-01-01 13:00:00,19,34,5
2018-01-01 14:00:00,20,42,0
2018-01-01 15:00:00,14,43,2
2018-01-01 16:00:00,16,53,0
2018-01-01 17:00:00,19,36,0
2018-01-01 18:00:00,18,48,0
2018-01-01 19:00:00,18,42,0
2018-01-01 20:00:00,20,33,4
2018-01-01 21:00:00,20,41,4
2018-01-01 22:00:00,12,46,5
2018-01-01 23:00:00,22,52,0
2018-01-02 00:00:00,14,51,9
2018-01-02 01:00:00,25,21,0
2018-01-02 02:00:00,0,47,0
2018-01-02 03:00:00,32,0,0
2018-01-02 04:00:00,0,0,0
2018-01-02 05:00:00,25,0,0
2018-01-02 06:00:00,15,17,0
2018-01-02 07:00:00,15,27,9
2018-01-02 08:00:00,23,31,3
2018-01-02 09:00:00,21,26,2
2018-01-02 10:00:00,16,30,2
2018-01-02 11:00:00,18,30,3
2018-01-02 12:00:00,25,41,4
2018-01-02 13:00:00,29,50,0
2018-01-02 14:00:00,15,42,0
2018-01-02 15:00:00,24,47,5
2018-01-02 16:00:00,27,39,0
2018-01-02 17:00:00,21,56,4
2018-01-02 18:00:00,32,52,3
2018-01-02 19:00:00,22,56,5
2018-01-02 20:00:00,23,38,3
2018-01-02 21:00:00,20,39,0
2018-01-02 22:00:00,14,43,2
2018-01-02 23:00:00,19,37,3
2018-01-03 00:00:00,20,62,12
2018-01-03 01:00:00,11,35,9
2018-01-03 02:00:00,19,0,16
2018-01-03 03:00:00,0,0,0
2018-01-03 04:00:00,0,33,0
2018-01-03 05:00:00,0,37,49
2018-01-03 06:00:00,20,11,0
2018-01-03 07:00:00,16,16,0
2018-01-03 08:00:00,15,34,0
2018-01-03 09:00:00,24,31,0
2018-01-03 10:00:00,24,31,0
2018-01-03 11:00:00,19,32,3
2018-01-03 12:00:00,22,33,6
2018-01-03 13:00:00,22,38,2
2018-01-03 14:00:00,27,42,4
2018-01-03 15:00:00,23,35,4
2018-01-03 16:00:00,27,46,2
2018-01-03 17:00:00,22,43,0
2018-01-03 18:00:00,21,43,2
2018-01-03 19:00:00,24,45,5
2018-01-03 20:00:00,19,51,3
2018-01-03 21:00:00,21,52,2
2018-01-03 22:00:00,15,42,2
2018-01-03 23:00:00,16,41,0
2018-01-04 00:00:00,24,26,5
2018-01-04 01:00:00,24,52,0
2018-01-04 02:00:00,15,31,38
2018-01-04 03:00:00,0,100,0
2018-01-04 04:00:00,0,88,0
2018-01-04 05:00:00,38,31,0
2018-01-04 06:00:00,14,20,35
2018-01-04 07:00:00,22,24,0
2018-01-04 08:00:00,19,24,2
2018-01-04 09:00:00,30,37,0
2018-01-04 10:00:00,30,38,0
2018-01-04 11:00:00,23,44,3
2018-01-04 12:00:00,24,31,0
2018-01-04 13:00:00,21,39,0
2018-01-04 14:00:00,19,33,3
2018-01-04 15:00:00,22,38,2
2018-01-04 16:00:00,25,38,0
2018-01-04 17:00:00,23,36,0
2018-01-04 18:00:00,24,43,3
2018-01-04 19:00:00,17,38,2
2018-01-04 20:00:00,21,42,0
2018-01-04 21:00:00,21,35,0
2018-01-04 22:00:00,20,36,4
2018-01-04 23:00:00,19,37,7
2018-01-05 00:00:00,26,36,8
2018-01-05 01:00:00,23,31,0
2018-01-05 02:00:00,18,84,0
2018-01-05 03:00:00,33,59,0
2018-01-05 04:00:00,34,0,32
2018-01-05 05:00:00,0,28,0
2018-01-05 06:00:00,15,44,0
2018-01-05 07:00:00,13,26,0
2018-01-05 08:00:00,14,22,0
2018-01-05 09:00:00,19,37,2
2018-01-05 10:00:00,22,36,2
2018-01-05 11:00:00,19,30,0
2018-01-05 12:00:00,21,26,4
2018-01-05 13:00:00,19,43,3
2018-01-05 14:00:00,18,27,5
2018-01-05 15:00:00,24,34,3
2018-01-05 16:00:00,13,40,0
2018-01-05 17:00:00,18,37,0
2018-01-05 18:00:00,21,42,0
2018-01-05 19:00:00,17,38,0
2018-01-05 20:00:00,22,35,0
2018-01-05 21:00:00,26,40,2
2018-01-05 22:00:00,16,44,2
2018-01-05 23:00:00,17,45,4
2018-01-06 00:00:00,19,14,0
2018-01-06 01:00:00,20,62,0
2018-01-06 02:00:00,22,39,0
2018-01-06 03:00:00,27,0,0
2018-01-06 04:00:00,0,0,0
2018-01-06 05:00:00,0,46,0
2018-01-06 06:00:00,76,28,0
2018-01-06 07:00:00,18,36,0
2018-01-06 08:00:00,36,45,0
2018-01-06 09:00:00,35,57,0
2018-01-06 10:00:00,45,62,0
2018-01-06 11:00:00,27,39,0
2018-01-06 12:00:00,34,44,0
2018-01-06 13:00:00,32,43,3
2018-01-06 14:00:00,23,52,0
2018-01-06 15:00:00,22,50,4
2018-01-06 16:00:00,24,56,3
2018-01-06 17:00:00,30,38,2
2018-01-06 18:00:00,22,52,3
2018-01-06 19:00:00,27,35,0
2018-01-06 20:00:00,25,50,0
2018-01-06 21:00:00,23,43,2
2018-01-06 22:00:00,24,55,2
2018-01-06 23:00:00,31,48,3
2018-01-07 00:00:00,26,59,0
2018-01-07 01:00:00,12,39,0
2018-01-07 02:00:00,0,39,0
2018-01-07 03:00:00,44,0,0
2018-01-07 04:00:00,57,0,0
2018-01-07 05:00:00,0,0,27
2018-01-07 06:00:00,34,29,0
2018-01-07 07:00:00,18,27,0
2018-01-07 08:00:00,21,37,0
2018-01-07 09:00:00,29,34,0
2018-01-07 10:00:00,21,30,0
2018-01-07 11:00:00,24,37,0
2018-01-07 12:00:00,26,49,0
2018-01-07 13:00:00,19,43,0
2018-01-07 14:00:00,26,42,2
2018-01-07 15:00:00,18,50,0
2018-01-07 16:00:00,30,42,3
2018-01-07 17:00:00,23,41,2
2018-01-07 18:00:00,30,26,0
2018-01-07 19:00:00,19,38,2
2018-01-07 20:00:00,15,42,2
2018-01-07 21:00:00,22,35,2
2018-01-07 22:00:00,25,37,0
2018-01-07 23:00:00,24,38,0
2018-01-08 00:00:00,26,45,0
2018-01-08 00:00:00,22,38,0
2018-01-08 01:00:00,35,33,0
2018-01-08 02:00:00,18,78,0
2018-01-08 03:00:00,0,0,0
2018-01-08 04:00:00,0,62,0
2018-01-08 05:00:00,0,17,0
2018-01-08 06:00:00,10,17,8
2018-01-08 07:00:00,12,18,8
2018-01-08 08:00:00,16,20,0
2018-01-08 09:00:00,14,24,3
2018-01-08 10:00:00,13,18,4
2018-01-08 11:00:00,20,27,0
2018-01-08 12:00:00,16,26,0
2018-01-08 13:00:00,16,26,2
2018-01-08 14:00:00,18,36,2
2018-01-08 15:00:00,17,23,0
2018-01-08 16:00:00,17,34,3
